raisedhands,VisITedResources,AnnouncementsView,Discussion,avg
62,70,44,60,59
72,51,42,24,47.25
50,70,50,10,45
73,84,77,81,78.75
85,89,22,61,64.25
100,80,2,70,63
22,20,6,26,18.5
80,89,23,68,65
100,80,95,90,91.25
83,75,62,53,68.25
79,84,82,37,70.5
70,82,3,73,57
70,90,41,33,58.5
60,70,63,93,71.5
70,58,73,91,73
100,91,98,40,82.25
80,90,49,55,68.5
85,75,62,53,68.75
15,90,52,83,60
80,42,33,13,42
60,52,23,33,42
70,92,83,85,82.5
100,75,50,70,73.75
72,80,98,96,86.5
87,81,22,70,65
96,61,42,94,73.25
76,81,80,86,80.75
65,89,64,82,75
98,88,60,31,69.25
70,89,12,21,48
74,71,56,37,59.5
90,84,52,30,64
95,94,72,80,85.25
14,97,15,14,35
13,82,20,30,36.25
25,29,40,17,27.75
98,87,86,84,88.75
75,81,51,34,60.25
59,90,19,43,52.75
74,60,56,37,56.75
97,87,82,86,88
24,97,15,14,37.5
23,82,20,30,38.75
80,87,72,60,74.75
72,74,82,89,79.25
80,95,21,28,56
90,98,41,38,66.75
35,80,50,70,58.75
88,90,86,81,86.25
98,90,86,71,86.25
88,90,76,81,83.75
90,91,80,81,85.5
15,97,22,10,36
85,90,52,30,64.25
50,70,19,15,38.5
80,90,55,19,61
70,12,40,50,43
55,89,40,40,56
14,60,11,75,40
50,88,30,80,62
78,70,31,29,52
80,88,51,39,64.5
89,92,89,83,88.25
89,92,89,83,88.25
99,96,89,84,92
80,90,80,83,83.25
19,98,20,2,34.75
79,91,49,22,60.25
59,97,42,70,67
40,62,83,33,54.5
10,17,12,40,19.75
15,6,32,40,23.25
80,80,15,70,61.25
80,90,55,19,61
80,80,51,59,67.5
80,94,62,77,78.25
89,92,40,28,62.25
69,82,20,28,49.75
86,98,50,20,63.5
78,91,50,40,64.75
96,95,70,70,82.75
82,89,22,31,56
85,99,42,90,79
51,79,85,89,76
72,21,22,26,35.25
95,82,82,70,82.25
70,4,39,90,50.75
13,80,40,88,55.25
65,75,23,80,60.75
60,97,13,3,43.25
60,92,83,23,64.5
30,98,42,21,47.75
72,98,52,15,59.25
90,79,76,79,81
80,82,64,58,71
87,92,74,89,85.5
80,90,70,80,80
70,69,35,30,51
70,88,55,40,63.25
70,92,50,7,54.75
70,50,40,99,64.75
90,86,82,74,83
49,70,19,75,53.25
55,79,44,43,55.25
65,59,74,83,70.25
78,88,74,83,80.75
87,65,82,33,66.75
75,71,72,53,67.75
92,65,62,53,68
45,58,52,43,49.5
79,93,49,23,61
70,83,29,33,53.75
90,90,57,22,64.75
70,98,54,72,73.5
80,91,87,72,82.5
84,92,29,43,62
89,96,45,92,80.5
81,79,91,85,84
92,31,42,27,48
90,62,80,60,73
50,95,23,10,44.5
50,90,83,13,59
35,97,41,23,49
60,52,23,33,42
75,90,51,17,58.25
72,65,73,66,69
80,92,83,43,74.5
84,77,79,68,77
87,93,63,60,75.75
81,84,77,85,81.75
70,80,95,70,78.75
100,75,50,70,73.75
70,80,95,70,78.75
62,64,72,84,70.5
62,64,69,49,61
72,64,59,89,71
72,84,89,89,83.5
92,80,88,76,84
82,89,58,50,69.75
72,83,12,90,64.25
27,90,82,14,53.25
87,81,42,19,57.25
10,20,22,97,37.25
25,15,12,33,21.25
11,20,20,98,37.25
10,10,40,51,27.75
15,9,14,80,29.5
2,7,4,8,5.25
10,0,2,41,13.25
8,22,9,40,19.75
7,10,1,30,12
10,12,17,30,17.25
20,14,12,70,29
13,5,18,19,13.75
10,15,10,21,14
10,15,10,21,14
30,17,14,57,29.5
8,25,1,70,26
10,7,0,30,11.75
30,25,5,35,23.75
5,1,0,11,4.25
0,0,0,4,1
14,13,3,70,25
2,0,2,50,13.5
0,5,7,2,3.5
2,6,2,8,4.5
1,0,1,12,3.5
1,7,6,10,6
2,5,3,50,15
25,27,0,69,30.25
11,2,0,50,15.75
55,33,6,9,25.75
7,9,5,30,12.75
35,12,0,17,16
20,14,12,19,16.25
13,3,11,9,9
49,36,32,44,40.25
10,12,20,13,13.75
12,11,8,40,17.75
5,9,19,98,32.75
39,26,12,44,30.25
10,12,29,93,36
35,2,29,23,22.25
29,10,12,24,18.75
27,15,42,53,34.25
9,6,15,85,28.75
5,4,5,8,5.5
11,2,9,49,17.75
30,10,20,5,16.25
30,10,20,5,16.25
10,2,13,53,19.5
50,62,13,33,39.5
10,17,12,14,13.25
35,14,23,62,33.5
0,3,10,3,4
70,40,2,16,32
10,10,15,19,13.5
19,65,50,10,36
42,24,12,24,25.5
22,34,15,9,20
52,10,13,6,20.25
12,8,18,26,16
22,20,18,6,16.5
22,51,48,10,32.75
5,17,21,10,13.25
10,51,40,40,35.25
17,50,2,4,18.25
7,61,22,14,26
2,9,10,1,5.5
12,50,8,30,25
0,4,8,30,10.5
10,35,30,13,22
3,8,19,3,8.25
69,34,12,17,33
10,30,50,91,45.25
10,60,5,20,23.75
12,22,59,83,44
39,15,16,50,30
40,7,50,41,34.5
80,44,35,10,42.25
12,30,0,17,14.75
20,12,15,70,29.25
35,2,29,33,24.75
5,21,42,14,20.5
4,10,11,7,8
10,9,2,1,5.5
21,10,28,20,19.75
10,8,9,3,7.5
5,13,6,6,7.5
20,3,9,3,8.75
5,0,1,8,3.5
9,7,9,3,7
19,74,32,17,35.5
15,7,12,7,10.25
7,9,11,10,9.25
20,22,53,13,27
15,4,12,7,9.5
2,19,10,50,20.25
22,30,10,12,18.5
8,7,30,40,21.25
4,5,40,16,16.25
10,12,7,33,15.5
0,0,5,80,21.25
7,5,2,80,23.5
5,20,1,50,19
4,8,10,60,20.5
0,8,11,70,22.25
0,2,3,70,18.75
16,14,6,20,14
5,2,6,5,4.5
19,5,4,1,7.25
15,25,37,13,22.5
12,60,0,70,35.5
9,7,21,20,14.25
75,72,64,39,62.5
8,6,4,22,10
72,76,66,40,63.5
20,52,23,33,32
3,12,4,33,13
19,70,3,50,35.5
12,0,6,13,7.75
12,10,20,16,14.5
11,2,2,8,5.75
23,25,32,53,33.25
2,11,62,30,26.25
0,6,4,15,6.25
8,15,10,40,18.25
70,90,2,2,41
5,3,2,10,5
40,38,32,36,36.5
25,10,19,30,21
40,50,12,50,38
60,60,33,90,60.75
7,12,5,3,6.75
36,30,20,80,41.5
55,13,35,90,48.25
70,50,33,41,48.5
87,48,82,96,78.25
12,20,38,46,29
60,82,93,43,69.5
49,94,42,7,48
51,42,12,29,33.5
10,8,10,10,9.5
19,30,26,19,23.5
42,30,13,70,38.75
50,7,9,50,29
18,28,40,20,26.5
41,39,35,39,38.5
50,62,73,43,57
61,97,82,64,76
20,90,50,61,55.25
32,82,59,63,59
27,41,32,61,40.25
39,71,40,26,44
7,4,10,50,17.75
18,17,26,34,23.75
25,29,34,33,30.25
35,80,34,22,42.75
65,86,62,40,63.25
32,14,32,29,26.75
42,34,29,39,36
20,88,31,28,41.75
10,18,71,38,34.25
19,80,12,17,32
80,83,82,71,79
25,82,52,20,44.75
72,87,72,89,80
66,90,55,12,55.75
0,12,3,3,4.5
19,72,15,50,39
90,86,82,74,83
10,98,41,38,46.75
10,58,51,48,41.75
11,70,32,29,35.5
71,81,83,72,76.75
29,78,40,12,39.75
69,77,83,92,80.25
62,64,72,84,70.5
72,80,58,66,69
88,81,50,10,57.25
80,80,62,11,58.25
85,87,72,10,63.5
60,87,23,11,45.25
70,69,46,45,57.5
69,77,76,75,74.25
77,80,12,19,47
24,35,23,22,26
95,57,74,89,78.75
90,88,54,12,61
81,82,69,13,61.25
79,88,79,20,66.5
50,80,20,15,41.25
55,72,83,14,56
74,62,49,43,57
21,27,52,34,33.5
70,76,65,70,70.25
82,84,79,79,81
32,80,58,46,54
72,80,58,66,69
32,60,58,66,54
10,17,50,21,24.5
30,90,33,35,47
50,79,10,31,42.5
42,21,2,16,20.25
55,90,16,40,50.25
24,35,18,31,27
50,77,14,28,42.25
95,87,62,81,81.25
39,40,11,33,30.75
15,21,2,90,32
33,33,30,90,46.5
6,2,38,12,14.5
90,70,30,14,51
10,12,4,80,26.5
10,3,0,30,10.75
60,60,3,60,45.75
35,2,29,23,22.25
85,66,12,23,46.5
25,15,32,53,31.25
45,95,12,13,41.25
53,88,9,33,45.75
27,20,33,35,28.75
55,74,25,29,45.75
87,79,73,98,84.25
60,55,30,40,46.25
10,79,30,30,37.25
69,76,82,94,80.25
70,81,39,84,68.5
17,61,42,14,33.5
70,64,42,32,52
40,87,50,41,54.5
100,85,85,70,85
60,80,50,40,57.5
11,20,21,23,18.75
81,75,62,53,67.75
53,75,72,23,55.75
35,92,29,33,47.25
51,82,53,43,57.25
30,12,29,23,23.5
40,51,20,33,36
12,44,25,39,30
72,80,58,66,69
72,90,12,30,51
27,41,49,14,32.75
80,80,46,61,66.75
17,13,16,12,14.5
50,90,40,90,67.5
19,19,25,40,25.75
15,50,24,43,33
22,51,42,40,38.75
85,82,59,63,72.25
50,40,52,66,52
70,75,55,11,52.75
32,44,29,89,48.5
62,61,82,40,61.25
15,52,83,11,40.25
16,90,15,11,33
78,98,10,11,49.25
19,20,16,50,26.25
77,80,51,80,72
27,22,22,40,27.75
17,80,13,10,30
79,89,11,14,48.25
70,99,66,65,75
70,50,33,40,48.25
80,51,40,24,48.75
82,31,52,25,47.5
10,90,30,21,37.75
70,90,20,21,50.25
92,81,32,36,60.25
72,41,46,27,46.5
25,80,29,23,39.25
75,80,15,20,47.5
60,52,23,33,42
78,80,66,51,68.75
29,39,50,77,48.75
32,88,32,25,44.25
80,87,74,68,77.25
45,87,57,80,67.25
81,86,86,41,73.5
15,16,2,20,13.25
20,20,3,25,17
30,40,22,66,39.5
45,54,26,90,53.75
29,22,9,20,20
30,35,28,90,45.75
20,80,33,33,41.5
50,70,32,40,48
12,26,7,40,21.25
70,98,7,5,45
70,80,25,70,61.25
2,9,7,55,18.25
80,42,20,50,48
12,21,16,50,24.75
50,10,15,22,24.25
28,60,19,50,39.25
19,6,19,12,14
75,85,52,43,63.75
50,90,37,70,61.75
80,71,52,51,63.5
15,43,42,33,33.25
25,5,12,33,18.75
67,31,42,14,38.5
79,72,79,83,78.25
25,87,21,27,40
70,50,30,49,49.75
85,88,79,70,80.5
80,97,86,95,89.5
39,88,43,72,60.5
78,82,78,53,72.75
10,75,55,11,37.75
23,63,71,89,61.5
72,80,58,86,74
62,68,48,80,64.5
87,88,40,10,56.25
17,21,42,14,23.5
77,69,41,13,50
15,90,21,97,55.75
80,82,76,19,64.25
71,70,65,69,68.75
80,77,63,83,75.75
10,94,40,11,38.75
80,81,71,30,65.5
89,87,86,15,69.25
77,82,74,79,78
69,15,36,96,54
15,70,37,44,41.5
21,12,0,50,20.75
50,90,29,60,57.25
85,15,22,53,43.75
95,91,62,53,75.25
20,77,31,88,54
70,82,75,29,64
75,71,76,80,75.5
75,85,73,80,78.25
25,89,21,13,37
70,83,70,23,61.5
90,86,85,10,67.75
71,84,67,80,75.5
57,51,46,34,47
947.3605428,1094.286843,708.1583116,763.8443981,
1,1,1,1,
